bin_num,bin_typ,stk_hu,mat_cod,stk_qty
PK.01.001.01,PA02,REC000785945,5ACEFFF2D6111EDBAF90540000CB4D3C,80
PK.01.005.01,PA02,REC000785944,5ACEFFF2D6111EDBAF90540000CB4D3C,80
PK.01.014.01,PA02,REC000641140,5ACEFFF2D6111EECB0AF8434B42CDA8E,90
PK.01.018.01,PA02,REC000581291,5ACEFFF2D6111EDBAF905414CE13CCC0,29
PK.01.020.01,PA02,REC000674335,5ACEFFF2D6111EDBAF90541568F34D78,20000
PK.01.022.01,PA02,REC000674333,5ACEFFF2D6111EDBAF9054177B9E8D3C,55000
PK.01.024.01,PA02,REC000650293,5ACEFFF2D6111EDBAF90541E8A7ACD6A,20000
PK.01.026.01,PA02,REC000770693,5ACEFFF2D6111EEC94D537E5A9E05F52,350000
PK.01.029.01,PA02,REC000768777,5ACEFFF2D6111EDBAF96228EE1BD0D3D,147200
PK.01.030.01,PA02,REC000720741,5ACEFFF2D6111EDBAF9053F2923E8CBD,367500
PK.01.043.01,PA02,REC000785949,5ACEFFF2D6111EDBAF90540000CB4D3C,80
PK.01.046.01,PA02,REC000776942,5ACEFFF2D6111EDBAF96227E02A30CC4,240
PK.01.047.01,PA02,REC000785948,5ACEFFF2D6111EDBAF90540000CB4D3C,80
PK.01.052.01,PA02,REC000785862,5ACEFFF2D6111EDBAF90540000CB4D3C,80
PK.01.053.01,PA02,REC000785946,5ACEFFF2D6111EDBAF90540000CB4D3C,80
PK.01.056.01,PA02,REC000746597,5ACEFFF2D6111EDBAF90540000CB4D3C,80
PK.01.057.01,PA02,REC000785947,5ACEFFF2D6111EDBAF90540000CB4D3C,80
PK.01.058.01,PA02,REC000785861,5ACEFFF2D6111EDBAF90540000CB4D3C,80
PK.01.059.01,PA02,REC000741062,5ACEFFF2D6111EDBAF90540000CB4D3C,80
PK.01.060.01,PA02,REC000746596,5ACEFFF2D6111EDBAF90540000CB4D3C,80
PK.01.063.01,PA02,REC000785860,5ACEFFF2D6111EDBAF90540000CB4D3C,80
PK.01.064.01,PA02,REC000769760,5ACEFFF2D6111EDBAF9053F9A25E8D2D,18000
PK.01.071.01,PA02,REC000785859,5ACEFFF2D6111EDBAF90540000CB4D3C,80
PK.01.076.01,PA02,REC000746589,5ACEFFF2D6111EDBAF90540000CB4D3C,80
PK.02.015.01,PD03,REC000669160,5ACEFFF2D6111EECA9A62FD45BB688B2,1
PK.02.073.01,PD03,REC000712397,5ACEFFF2D6111EDBAF92A33742708CCF,96
PK.02.085.01,PD03,REC000774537,5ACEFFF2D6111EDD9B8CC86A842B026D,40
PK.02.086.01,PD03,00000000006000225649,5ACEFFF2D6111EDBAF92A3363D3A8CE4,576
PK.02.089.01,PD03,REC000677124,5ACEFFF2D6111EDBAF92A3363D3A8CE4,576
PK.02.100.01,PD03,REC000682531,5ACEFFF2D6111EDBAF92A3352ADF8D60,500
