mat_cod,cod_mat,mat_dsc,mat_ppu,grs_wgt,net_wgt,wgt_uom,mat_vol,vol_uom,mat_len,mat_wid,mat_hgt,mat_uom
5ACEFFF2D6111EED9D98E7DF5DE5C95E,F000KE0P19ZPE,Suppressed Spark Plug,8.38,0.045,0.041,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EEC94D541212B99DF34,F000KE0P20T4E,Spark Plug,6.86,0.048,0.048,KG,0.081,L,24,27,89,MM
5ACEFFF2D6111EEC94D54120FA235F61,F000KE0P24T4E,Spark Plug,11.91,0.055,0.055,KG,0.129,L,24,27,102,MM
5ACEFFF2D6111EDBAF913C3DDC720D64,F000KE0P27T4E,Spark Plug,4.62,0.063,0.062,KG,0.059,L,95,25,25,MM
5ACEFFF2D6111EEDA08DD6CDF8D00830,F000KE0P27ZPE,Suppressed Spark Plug,5.26,0.041,0.037,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EEC94D54121DC38DF52,F000KE0P28T4E,Spark Plug,9.42,0.048,0.048,KG,0.081,L,24,27,89,MM
5ACEFFF2D6111EEDA08DD6D8567C07EF,F000KE0P28ZPE,Spark Plug,10.73,0.048,0.044,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EDD97A99BB8C8500E66,F000KE0P300ZB,Suppressed Spark Plug,6.37,0.048,0.048,KG,0.058,L,23,88,130,MM
5ACEFFF2D6111EDBAF916202C9324D01,F000KE0P30T4E,Spark Plug,5.59,0.048,0.048,KG,0.081,L,24,27,89,MM
5ACEFFF2D6111EEDA08DD6DCCDEC079A,F000KE0P30ZPE,Suppressed Spark Plug,6.37,0.046,0.042,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EEC94D5412699245EE7,F000KE0P31T4E,Spark Plug,11.3,0.053,0.053,KG,0.066,L,24,27,102,MM
5ACEFFF2D6111EDBAF913C4FAEE80D0C,F000KE0P32T4E,Spark Plug,3.85,0.062,0.062,KG,0.068,L,24,27,89,MM
5ACEFFF2D6111EEDA0D946D8CFA4D248,F000KE0P32ZP2,Suppressed Spark Plug,4.22,0.062,0.054,KG,0.047,L,23,94,130,MM
5ACEFFF2D6111EEDA0C0200060970E7B,F000KE0P32ZPE,Suppressed Spark Plug,4.22,0.062,0.054,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EEC94D54132B9499EE0,F000KE0P330ZB,Spark Plug,11.04,0.048,0.047,KG,0.056,L,27,103,130,MM
5ACEFFF2D6111EDBAF9057B326D68D31,F000KE0P34T4E,Spark Plug,3.7,0.062,0.062,KG,0.081,L,24,27,89,MM
5ACEFFF2D6111EDDA2E2219FC26FCEEB,F000KE0P34ZPE,Suppressed Spark Plug,5.12,0.06,0.056,KG,0.047,L,21,25,89,MM
5ACEFFF2D6111EDBAF913C4FDD5B4D2D,F000KE0P367ZB,SPARK PLUG,3.43,0.062,0.062,KG,0.218,L,4.37,3.95,11.87,MM
5ACEFFF2D6111EEC8A800DEFD8864219,SP04996909B8R,Installer-Remover,1460.45,22.82,5.579,KG,915.84,L,1200,800,954,MM
5ACEFFF2D6111EEC8A800DF5D78501D4,SP04996913B2R,Remover tool,35.05,0.989,0.93,KG,0.515,L,114,105,43,MM
5ACEFFF2D6111EEC8A800DF6D72641DE,SP04996914B0R,Supporting Base,98.38,1.382,1.338,KG,1.176,L,136,133,65,MM
5ACEFFF2D6111EEC8A800E20F7F30227,SP04996925B8R,Installer-Remover,51.36,0.509,0.454,KG,0.343,L,70,70,70,MM
5ACEFFF2D6111EEC8A800E37AF084308,SP04996926B8R,Adapter piece,105.35,0.07,0.1,KG,0.025,L,69,19,19,MM
5ACEFFF2D6111EEC8A800E42FB7801C0,SP04996928B4P,Torque Wrench,2739.99,2.86,1.6,KG,6.724,L,337,232,86,MM
5ACEFFF2D6111EDBAF905C0140B58D41,SP04996930B2R,Adapter Kit,3007.42,59.255,40.914,KG,915.84,L,1200,800,954,MM
