bin_num,bin_typ,bin_sec,bin_asl
PP.16.057.07,PA01,A,16
PP.04.023.09,PA02,D,04
PP.24.099.04,PA01,B,24
PP.27.024.05,PA01,B,27
PR.28.087.1.01,SA01,D,28
PR.28.088.1.13,SA01,D,28
PR.28.088.1.14,SA01,D,28
PR.28.088.1.15,SA01,D,28
PR.28.088.2.04,SA01,D,28
PK.08.116.01,PO02,A,08
PP.22.072.06,PA01,A,22
PP.04.116.09,PA02,D,04
PK.10.054.01,PO02,A,10
PK.15.049.01,PO02,A,15
PK.17.062.01,PO02,A,17
PP.23.072.06,PA01,A,23
PR.28.033.1.03,SA01,D,28
PR.28.033.1.05,SA01,D,28
PR.28.033.1.06,SA01,D,28
PR.28.033.1.08,SA01,D,28
PR.28.076.1.06,SA01,D,28
PR.28.076.1.07,SA01,D,28
PR.28.076.1.08,SA01,D,28
PR.28.076.1.09,SA01,D,28
PR.28.076.1.10,SA01,D,28
PR.22.017.2.01,SA01,B,22
PP.22.123.05,PA01,A,22
PR.24.129.2.01,SA01,B,24
PR.23.026.2.02,SA01,B,23
PR.23.028.2.01,SA01,B,23
PR.23.028.2.02,SA01,B,23
PR.23.028.2.03,SA01,B,23
PR.24.129.2.02,SA01,B,24
PP.20.048.05,PA01,A,20
PP.20.074.07,PA01,A,20
PR.07.009.1.08,SA01,C,07
PR.07.107.1.01,SA01,C,07
PR.07.107.1.03,SA01,C,07
PR.07.107.1.04,SA01,C,07
PP.05.115.06,PA01,C,05
PP.05.115.07,PA01,C,05
PP.28.013.2.09,SA01,D,28
PP.28.013.2.10,SA01,D,28
PP.28.013.2.11,SA01,D,28
PP.28.013.2.04,SA01,D,28
PP.28.013.2.05,SA01,D,28
PP.28.013.2.12,SA01,D,28
PP.28.013.2.06,SA01,D,28
PP.28.013.2.13,SA01,D,28
PP.28.013.2.14,SA01,D,28
PP.28.013.2.15,SA01,D,28
PP.28.014.2.01,SA01,D,28
PP.28.013.2.07,SA01,D,28
PP.28.013.2.08,SA01,D,28
PP.28.014.2.03,SA01,D,28
PP.28.014.2.04,SA01,D,28
PP.28.015.2.05,SA01,D,28
PP.28.016.2.01,SA01,D,28
PP.28.016.2.03,SA01,D,28
PP.28.015.2.06,SA01,D,28
PP.28.016.2.04,SA01,D,28
PP.28.015.2.07,SA01,D,28
PP.28.015.2.08,SA01,D,28
PP.28.016.2.05,SA01,D,28
PP.28.015.2.09,SA01,D,28
PP.28.015.2.10,SA01,D,28
PP.28.015.2.11,SA01,D,28
PP.28.015.2.12,SA01,D,28
PP.28.015.2.13,SA01,D,28
PP.28.015.2.14,SA01,D,28
PP.28.015.2.15,SA01,D,28
PK.02.089.01,PD03,A,02
PP.28.016.2.15,SA01,D,28
PP.28.017.2.01,SA01,D,28
PP.30.074.06,PA01,D,30
PP.30.074.07,PA01,D,30
PP.28.017.2.03,SA01,D,28
PP.28.017.2.04,SA01,D,28
PP.28.017.2.05,SA01,D,28
PP.05.113.04,PA01,C,05
PP.28.017.2.06,SA01,D,28
PP.28.017.2.07,SA01,D,28
PK.03.026.01,PO02,C,03
PP.30.076.07,PA01,D,30
PP.30.088.03,PA01,D,30
PP.30.090.08,PA01,D,30
PP.30.090.09,PA01,D,30
PK.15.069.02,PO02,C,15
PK.03.031.01,PO02,C,03
PP.29.076.03,PA01,D,29
PK.03.032.01,PO02,C,03
PP.28.017.2.08,SA01,D,28
PP.28.017.2.09,SA01,D,28
PP.28.018.2.11,SA01,D,28
PP.28.018.2.06,SA01,D,28
PP.28.018.2.07,SA01,D,28
PP.28.018.2.08,SA01,D,28
PP.28.018.2.12,SA01,D,28
PP.28.018.2.09,SA01,D,28
PP.28.018.2.10,SA01,D,28
PP.28.018.2.13,SA01,D,28
PP.28.018.2.14,SA01,D,28
PP.28.018.2.15,SA01,D,28
PP.28.019.2.01,SA01,D,28
PP.28.019.2.03,SA01,D,28
PP.28.019.2.04,SA01,D,28
PP.28.019.2.05,SA01,D,28
PP.28.019.2.06,SA01,D,28
PP.28.019.2.07,SA01,D,28
PP.28.019.2.08,SA01,D,28
PP.28.019.2.09,SA01,D,28
PP.28.019.2.10,SA01,D,28
PP.30.103.2.02,SA01,D,30
PP.30.104.2.02,SA01,D,30
PP.30.105.2.02,SA01,D,30
PP.28.019.2.13,SA01,D,28
PP.28.019.2.14,SA01,D,28
PP.28.019.2.15,SA01,D,28
PP.28.019.2.11,SA01,D,28
PP.28.020.2.01,SA01,D,28
PP.30.106.2.02,SA01,D,30
PP.30.107.2.02,SA01,D,30
PP.30.108.2.02,SA01,D,30
PP.30.109.2.02,SA01,D,30
PP.28.020.2.03,SA01,D,28
PP.28.020.2.04,SA01,D,28
PP.28.020.2.05,SA01,D,28
PP.28.020.2.06,SA01,D,28
PP.28.019.2.12,SA01,D,28
PP.28.020.2.07,SA01,D,28
PP.28.020.2.08,SA01,D,28
PP.28.020.2.09,SA01,D,28
PP.28.020.2.10,SA01,D,28
PP.28.020.2.11,SA01,D,28
PP.28.020.2.12,SA01,D,28
PP.09.048.05,PA01,A,09
PP.30.111.03,PA01,D,30
PR.07.075.2.04,SA01,C,07
PP.30.111.04,PA01,D,30
PP.30.121.08,PA01,D,30
PK.06.052.02,PO02,C,06
PP.30.125.05,PA01,D,30
PP.11.070.06,PA01,A,11
PR.07.067.1.06,SA01,C,07
PR.22.109.2.03,SA01,A,22
PK.05.057.02,PO02,C,05
PR.06.089.2.02,SA01,C,06
PP.28.016.2.06,SA01,D,28
PP.28.016.2.07,SA01,D,28
PP.28.016.2.08,SA01,D,28
PP.28.016.2.09,SA01,D,28
PP.28.016.2.10,SA01,D,28
PP.28.016.2.11,SA01,D,28
PP.28.016.2.12,SA01,D,28
PP.28.016.2.13,SA01,D,28
PP.28.016.2.14,SA01,D,28
PP.28.020.2.13,SA01,D,28
PP.28.020.2.14,SA01,D,28
PP.28.020.2.15,SA01,D,28
PP.28.021.2.01,SA01,D,28
PP.28.021.2.03,SA01,D,28
PP.28.021.2.04,SA01,D,28
PP.28.021.2.05,SA01,D,28
PP.28.021.2.06,SA01,D,28
PP.28.021.2.07,SA01,D,28
PP.28.021.2.08,SA01,D,28
PP.28.021.2.09,SA01,D,28
PP.28.021.2.10,SA01,D,28
PP.28.021.2.11,SA01,D,28
PP.28.014.2.05,SA01,D,28
PP.28.014.2.10,SA01,D,28
PP.28.014.2.11,SA01,D,28
PP.28.014.2.12,SA01,D,28
PP.28.014.2.13,SA01,D,28
PP.28.014.2.06,SA01,D,28
PP.28.014.2.07,SA01,D,28
