REMESSA,TIPO,MATERIAL,QTD,VALOR,DT,HR,CLIENTE
1718953710,Nacional OES,0445120054TMK,12,5942.16,20221201,170035,0000002407
1718953716,Nacional,0684200704000,1,4552.95,20221201,170247,0018235300
1718953716,Nacional,0684200704000,1,4552.96,20221201,170247,0018235300
1718953716,Nacional,1687001926000,1,1424.67,20221201,170247,0018235300
1718953716,Nacional,0684200702810,1,2970.1,20221201,170247,0018235300
1718953716,Nacional,1684465881879,1,484.74,20221201,170247,0018235300
0500107045,Nacional OES,F00N201306390,645,8202.27,20221201,122605,0015830100
5240129172,Nacional,90010836128F6,1,119.08,20221201,063748,0090016956
0500107240,Exportação,0432191342741,4,70.08,20221201,170042,0016325200
0500107240,Exportação,04331720638GA,25,80,20221201,170042,0016325200
0500107240,Exportação,04331713858GA,96,413.76,20221201,170042,0016325200
0500107240,Exportação,04332718958GA,226,1179.72,20221201,170042,0016325200
0500107240,Exportação,0261230268742,17,50.32,20221201,170042,0016325200
0500107240,Exportação,04331718608GA,288,3156.48,20221201,170042,0016325200
0500107240,Exportação,04331721508GA,768,3271.68,20221201,170042,0016325200
0500107240,Exportação,0432191427742,84,1195.32,20221201,170042,0016325200
0500107240,Exportação,0432191467742,24,339.84,20221201,170042,0016325200
0500107240,Exportação,0432191487741,32,536.32,20221201,170042,0016325200
0500107240,Exportação,14184150658GA,40,749.6,20221201,170042,0016325200
0500107240,Exportação,04331750868GA,21,97.23,20221201,170042,0016325200
0500107240,Exportação,94122700118GA,31,312.79,20221201,170042,0016325200
0500107240,Exportação,04331712718GA,96,376.32,20221201,170042,0016325200
0500107240,Exportação,24184553468GA,40,770,20221201,170042,0016325200
0500107240,Exportação,2430102332741,400,32,20221201,170042,0016325200
0500107240,Exportação,04331717378GA,69,283.59,20221201,170042,0016325200
0500107240,Exportação,0432191629741,79,1253.73,20221201,170042,0016325200
0500107240,Exportação,04332718098GA,11,50.05,20221201,170042,0016325200
0500107240,Exportação,0432191233741,12,156.36,20221201,170042,0016325200
0500107240,Exportação,04331722718GA,96,352.32,20221201,170042,0016325200
